Data_Exportacao,Tipo_Busca,Total_Resultados,Filtros_Aplicados,People/PEOP,Status_Loja,LOJAS,CODIGO,ENDEREÇO,BAIRRO,CIDADE,UF,CEP,TELEFONE1,TELEFONE2,CELULAR,E_MAIL,2ª_a_6ª,SAB,DOM,FUNC.,VD_NOVO,NOME_GGL,NOME_GR
2025-07-16 20:49:42,GGL e GR,213.0,"{'status': '', 'cidade': '', 'ordenacao': 'nome A-Z'}",,,,,,,,,,,,,,,,,,,,
,,,,VD218,ATIVA,DSP ABILIO SOARES,218.0,"RUA ABILIO SOARES, 782",PARAISO,SAO PAULO,SP,04005-003,(11)3051-5653,3051-5670,(11)94158-8555,asoares@dpsp.com.br,24 HORAS,24 HORAS,24 HORAS,24 HORAS,-,FABIO FREITAS,OLIVEIRA JUNIOR
,,,,VD133,ATIVA,DSP ABRAAO DE MORAES,133.0,"R. ELISA SILVEIRA, 57",JD. DA SAUDE,SAO PAULO,SP,04152-000,(11)5585-2472,(11)50710086,(11)91038-7503,amoraes@dpsp.com.br,24 HORAS,24 HORAS,24 HORAS,24 HORAS,-,ANDRE RAMOS,OLIVEIRA JUNIOR
,,,,VD110,ATIVA,DSP ACLIMACAO,110.0,"AV. ACLIMACAO, 712",ACLIMACAO,SAO PAULO,SP,01531-000,(11)3208-8545,(11)3208-2906,(11)96478-2342,aclimacao@dpsp.com.br,24 HORAS,24 HORAS,24 HORAS,24 HORAS,-,VANESSA FILIPE,OLIVEIRA JUNIOR
,,,,L2002,ATIVA,DSP ACLIMACAO II,2002.0,"RUA PEDRA AZUL, 607",ACLIMAÇÃO,SAO PAULO,SP,04109-000,(11)5539-6595,5908-1650,(11)97304-5305,aclimacao2@dpsp.com.br,07 ÀS 23,07 ÀS 23,07 ÀS 23,DOMINGOS E FERIADOS,-,VANESSA FILIPE,OLIVEIRA JUNIOR
,,,,L2048,ATIVA,DSP ACLIMACAO III,2048.0,"RUA ALMEIDA TORRES, 150",ACLIMAÇAO,SAO PAULO,SP,01530-010,(11)3275-7998,3275-7999,(11)97247-4937,aclimacao3@dpsp.com.br,07 ÀS 23,07 ÀS 23,07 ÀS 23,DOMINGOS E FERIADOS,-,VANESSA FILIPE,OLIVEIRA JUNIOR
,,,,VD735,ATIVA,DSP AFONSO CELSO,735.0,"R AFONSO CELSO, 1720",VILA MARIANA,SAO PAULO,SP,04119-062,(11)2305-0495,2305-0512,(11)91037-3049,afonsocelso@dpsp.com.br,07 ÀS 23,07 ÀS 23,07 ÀS 23,DOMINGOS E FERIADOS,-,ANDRE RAMOS,OLIVEIRA JUNIOR
,,,,L2025,ATIVA,DSP ALAMEDA SANTOS,2025.0,"Alameda Santos, 1102 1112",CERQUEIRA CESAR,SAO PAULO,SP,01418-100,(11)3262-2317,3171-1499,(11)95780-2942,alameda.santos@dpsp.com.br,07 ÀS 23,07 ÀS 23,07 ÀS 23,DOMINGOS E FERIADOS,-,FABIO FREITAS,OLIVEIRA JUNIOR
,,,,VD675,ATIVA,DSP ALDEIA DA SERRA,675.0,"AV DOS PASSAROS, 451, LOJA 7B/8/9 DO QUINTA DO ALDEIA M",RESIDENCIAL MORADA DOS LAGOS,BARUERI,SP,06429-222,(11)4192-4600,(11)4192-4601,(11)95571-2018,aserra@dpsp.com.br,07 ÀS 22,07 ÀS 22,07 ÀS 22,DOMINGOS E FERIADOS,-,CESAR MENDONCA - INTERINO,OLIVEIRA JUNIOR
,,,,VD076,ATIVA,DSP ALFONSO BOVERO,76.0,"AV. PROFESSOR ALFONSO BOVERO, 566",PERDIZES,SAO PAULO,SP,01254-000,(11)3672-8242,(11)3864-5152,(11)93443-2290,abovero@dpsp.com.br,07 ÀS 23,07 ÀS 23,07 ÀS 23,DOMINGOS E FERIADOS,-,CESAR MENDONCA,OLIVEIRA JUNIOR
